"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Gestion des clients","0","Service — Clients","2","0","Lister tous les clients","0"
"0","Gestion des articles de commande","0","API REST — OrderItems","2","0","Créer un article","0"
"0","Gestion des clients","0","Service — Clients","1","0","Créer un client","0"
"0","Gestion des commandes","0","Service - OrderService","3","0","Consulter une commande par ID","0"
"0","Gestion des clients","0","API REST — Clients","2","0","Récupérer un client par ID","0"
"0","Gestion des articles de commande","0","Service - OrderItemService","2","0","Consulter un article par ID","0"
"0","Gestion des plats","0","Service - DishService","3","0","Consulter un plat par ID","0"
"0","Gestion des commandes","0","API REST — Orders","3","0","Créer une commande","0"
"0","Gestion des plats","0","API REST — Dishes","3","0","Récupérer un plat par ID","0"
"0","Gestion des commandes","0","Service - OrderService","3","0","Supprimer une commande (hard delete)","0"
"0","Gestion des articles de commande","0","Service - OrderItemService","2","0","Lister tous les articles","0"
"0","Gestion des plats","0","API REST — Dishes","3","0","Lister les plats disponibles","0"
"0","Gestion des plats","0","API REST — Dishes","3","0","Supprimer un plat (soft delete)","0"
"0","Gestion des plats","0","Service - DishService","1","0","Créer un plat","0"
"0","Gestion des articles de commande","0","API REST — OrderItems","2","0","Lister les articles","0"
"0","Gestion des commandes","0","API REST — Orders","3","0","Supprimer une commande (hard delete)","0"
"0","Gestion des commandes","0","API REST — Orders","2","0","Récupérer une commande par ID","0"
"0","Gestion des commandes","0","API REST — Orders","2","0","Modifier une commande","0"
"0","Gestion des clients","0","API REST — Clients","3","0","Créer un client","0"
"0","Gestion des plats","0","Service - DishService","3","0","Supprimer un plat (soft delete)","0"
"0","Gestion des clients","0","API REST — Clients","2","0","Modifier un client","0"
"0","Gestion des clients","0","API REST — Clients","2","0","Lister tous les clients","0"
"0","Gestion des plats","0","API REST — Dishes","5","0","Créer un plat","0"
"0","Gestion des commandes","0","Service - OrderService","2","0","Créer une commande","0"
"0","Gestion des plats","0","Service - DishService","2","0","Lister les plats disponibles","0"
"0","Gestion des articles de commande","0","Service - OrderItemService","1","0","Modifier un article","0"
"0","Gestion des plats","0","API REST — Dishes","2","0","Modifier un plat","0"
"0","Gestion des articles de commande","0","API REST — OrderItems","2","0","Récupérer un article par ID","0"
"0","Gestion des articles de commande","0","Service - OrderItemService","2","0","Créer un article","0"
"0","Gestion des clients","0","API REST — Clients","2","0","Supprimer un client","0"
"0","Gestion des clients","0","Service — Clients","2","0","Récupérer un client par ID","0"
"0","Gestion des articles de commande","0","Service - OrderItemService","3","0","Supprimer un article (hard delete)","0"
"0","Gestion des plats","0","Service - DishService","1","0","Modifier un plat","0"
"0","Gestion des articles de commande","0","API REST — OrderItems","2","0","Modifier un article","0"
"0","Gestion des clients","0","Service — Clients","2","0","Supprimer un client","0"
"0","Gestion des commandes","0","Service - OrderService","1","0","Modifier une commande","0"
"0","Gestion des articles de commande","0","API REST — OrderItems","3","0","Supprimer un article (hard delete)","0"
"0","Gestion des commandes","0","Service - OrderService","2","0","Lister toutes les commandes","0"
"0","Gestion des commandes","0","API REST — Orders","2","0","Lister les commandes","0"
"0","","0","","1","0","","0"
